Model,Payload size (bytes),Encryption time (ms),Decryption time (ms)
AES-256,128,0.035,0.004
AES-256,512,0.036,0.004
AES-256,1024,0.038,0.005
AES-256,2048,0.042,0.006
AES-256,4096,0.049,0.008
ECC-256 (ECDH baseline),128,0.11,0.082
ECC-256 (ECDH baseline),512,0.113,0.084
ECC-256 (ECDH baseline),1024,0.116,0.087
ECC-256 (ECDH baseline),2048,0.122,0.091
ECC-256 (ECDH baseline),4096,0.134,0.099
ECC + CRT (No Masking),128,18.75,6.89
ECC + CRT (No Masking),512,18.82,6.91
ECC + CRT (No Masking),1024,18.91,6.95
ECC + CRT (No Masking),2048,19.05,7.02
ECC + CRT (No Masking),4096,19.28,7.15
Masked-ECC-CRT (Proposed),128,26.89,14.48
Masked-ECC-CRT (Proposed),512,26.99,14.51
Masked-ECC-CRT (Proposed),1024,27.11,14.58
Masked-ECC-CRT (Proposed),2048,27.32,14.69
Masked-ECC-CRT (Proposed),4096,27.65,14.88
